tipo,barcode,cod_produtos
raw,PTKPP0021,"KDB1271,KDB4684"
normalized,1,"1.0,CT712SB7,CT7686,SHOP397"
normalized,11,"CT020,CT4446"
normalized,12,"CT021,CT4444"
normalized,1230,"CT186774,KDB7632"
normalized,13,"CT487,NAT152345"
normalized,15,"AVI901,CT18187,CT718"
normalized,151,"CT12333,CT907"
normalized,19,"CT194643,CT4448,RATG11"
normalized,2,"CT4447,CTF1,S09"
normalized,20,"CT194643,CT715,DIF1212"
normalized,200000193611,"CT38871222,CT39841"
normalized,22,"CT6821,CT712SB7"
normalized,2266600,"KDB11669,KDB1484"
normalized,23,"CT6822,CT718,RATG31"
normalized,27,"NAT2485090,RATG34"
normalized,2800000032395,"SHOP347,SHOP348"
normalized,3,"CT194643,CT714,S08"
normalized,30,"CT194643,CT8442"
normalized,31,"CT194643,CT8441,RATG37"
normalized,3330690005243,"CT193923,CT197154"
normalized,34000400126,"CT193448,KDB10602"
normalized,3438931015331,"CT199620,CT199661"
normalized,393,"CT12200,RATG36"
normalized,4025700001962,"CT6832,KDB1639"
normalized,41,"CT194643,RATG14"
normalized,42,"CT194643,RATG25"
normalized,42882185789,"KDB8477,KDB9972"
normalized,43,"CT184907,CT194643"
normalized,47,"CT194643,RATG22"
normalized,49,"CT194643,RATG20"
normalized,5,"CT6534,CT715"
normalized,50,"CT194643,CT8443,RATG26"
normalized,51,"CT194643,RATG27"
normalized,52742001661,"CT196042,KDB2974"
normalized,52742005065,"CT11305,CT11312"
normalized,52742022116,"CT196049,KDB2977"
normalized,52742022161,"CT196050,KDB2978"
normalized,52742023762,"CT192578,KDB2991"
normalized,52742026817,"CT11323,CT17689"
normalized,52742026824,"CT11322,CT196043"
normalized,52742027074,"CT11324,KDB2973"
normalized,52742027135,"CT11336,CT187046"
normalized,52742036236,"CT198884,KDB2958"
normalized,52742036243,"CT11300,KDB5562"
normalized,52742036274,"CT198892,KDB2963"
normalized,52742036298,"CT196036,CT198886"
normalized,52742036397,"CT196031,KDB2964"
normalized,52742036403,"CT11301,CT196030,KDB2962"
normalized,52742036465,"CT189526,KDB2968"
normalized,52742036564,"CT196058,CT198891"
normalized,52742036588,"CT196037,CT198885,KDB2970"
normalized,52742036687,"CT196059,KDB2965"
normalized,52742036748,"CT196060,KDB2967"
normalized,52742036762,"CT196034,CT198885,KDB2959"
normalized,52742038131,"CT191550,KDB2989"
normalized,52742038162,"CT191551,KDB2987"
normalized,52742038247,"CT192580,KDB2993"
normalized,52742338606,"CT196046,KDB2995"
normalized,52742615806,"CT196054,KDB2982"
normalized,52742615905,"CT196055,KDB2983"
normalized,52742862200,"CT196044,KDB2972"
normalized,52742867007,"CT11326,CT196045"
normalized,52742869605,"CT190147,KDB2981"
normalized,52742951607,"CT192582,KDB2994"
normalized,52742952109,"CT191549,KDB2992"
normalized,54881004251,"CT2919,KDB2448"
normalized,54881004305,"CT18384,KDB2450"
normalized,5604424107052,"CT199623,CT199661"
normalized,5604424162006,"CT199622,CT199663"
normalized,5609613004129,"CT193916,CT197155"
normalized,606529019747,"COCO2,CT2378"
normalized,606529301606,"CT199682,KDB6827"
normalized,609963760589,"CT192013,CT192488"
normalized,609963919888,"CT188828,CT188832"
normalized,609963919956,"CT188830,KDB4243"
normalized,618231448876,"CT189449,KDB10837"
normalized,618231907977,"CT196978,CT199561"
normalized,618341285095,"CT195931,KDB9819"
normalized,618341522213,"KDB6580,SHOP974"
normalized,618341522275,"KDB6576,SHOP974"
normalized,618341625518,"KDB10097,KDB2295"
normalized,62,"CT194643,RATG28"
normalized,63,"CT17965,CT186874,CT4449,RATG29"
normalized,64,"CT17972,CT194643"
normalized,66,"CT17968,CT194643"
normalized,67,"CT186876,CT194643"
normalized,69,"CT186875,CT194643"
normalized,7,"7.0,SEN907"
normalized,70,"CT17971,CT194643"
normalized,71,"CT186873,CT194643"
normalized,736532074348,"CT30154,CT8411"
normalized,736532074355,"CT30153,CT8410"
normalized,736532152824,"CT186439,CT189995"
normalized,736532215000,"CT192989,CT194587"
normalized,736532216496,"CT197107,CT197118"
normalized,739802440300,"KDB8887,RATG33"
normalized,742832222228,"KDB6404,KDB6432"
normalized,742832318969,"CT8SB844,SHOP463"
normalized,745125250441,"CT191406,CT191407"
normalized,745178226523,"CT193548,CT3833"
normalized,7501064194177,"CORONA24PACKBRUTO,SHOP352"
normalized,751320097453,"BATATA,CT859"
normalized,751320097484,"CEBOLA,CT1031"
normalized,751320656810,"CT186792,CT9045"
normalized,7808725404218,"CT199621,CT199662"
normalized,78907478,"CT197474,CT6068"
normalized,7891000071403,"CT2056SB2,CT205SB2"
normalized,7891010254865,"CT185260,CT190557"
normalized,7891010503024,"CT188654,CT4SB4"
normalized,7891024008560,"CT4198,SHOP493"
normalized,7891024032732,"CT41000,CT4113"
normalized,7891024036976,"CT7844,HIGSAB"
normalized,7891024184608,"CT40900,HHB1"
normalized,7891048046081,"CT18424,CT192106"
normalized,7891095300648,"CT1645,CT7306"
normalized,7896004816968,"CT40240,SHOP87"
normalized,7896021625918,"CT314,CT385"
normalized,7896029092422,"CT11463,KDB4371"
normalized,7896030520228,"CT676,CT679"
normalized,7896051130123,"CT192727,CT54231"
normalized,7896058501407,"CT187469,CT6030"
normalized,7896207606052,"CT10502,CT61041"
normalized,7896496917709,"CT68390,CT754771"
normalized,7898024396673,"CT11537,KDB5985"
